unix,low,high,open,close,volume,date,vol_fiat
1640131200,3995.01,4075.0,4017.35,4053.68,27827.60990137,2021-12-22,112804225.70498554
1640044800,3908.13,4063.89,3946.59,4017.11,137991.50149241,2021-12-21,554327040.5601752
1639958400,3754.8,3984.08,3925.78,3946.16,172027.91571974,2021-12-20,678849679.8966092
1639872000,3886.03,4039.73,3961.93,3925.79,102078.81232557,2021-12-19,400739980.63959944
1639785600,3768.14,3999.0,3876.37,3961.92,113485.77521903,2021-12-18,449621562.55577934
1639699200,3699.0,3994.81,3957.12,3876.02,209823.26509135,2021-12-17,813279171.9593744
1639612800,3952.81,4116.39,4021.41,3957.28,174285.93324831,2021-12-16,689698237.9248723
1639526400,3643.43,4097.0,3860.72,4021.53,319094.24570016,2021-12-15,1283247081.9105644
1639440000,3686.49,3884.08,3784.0,3860.74,197099.24204846,2021-12-14,760948927.7461715
1639353600,3660.0,4146.1,4132.91,3783.81,305712.33000025,2021-12-13,1156757371.378246
1639267200,3989.41,4186.16,4091.17,4132.92,108368.85746466,2021-12-12,447879818.39284265
1639180800,3835.0,4099.87,3899.97,4091.18,166327.13830459,2021-12-11,680474261.6889725
1639094400,3889.42,4232.38,4105.99,3900.91,273780.7217072,2021-12-10,1067993955.1148335
1639008000,4076.15,4490.72,4440.94,4106.06,222048.28315781,2021-12-09,911743573.5429573
1638921600,4226.88,4456.36,4310.21,4440.51,186740.13696568,2021-12-08,829221445.5974717
1638835200,4260.0,4433.99,4354.09,4310.19,198306.85854675,2021-12-07,854740238.6396164
1638748800,3913.0,4380.8,4203.22,4354.22,349333.84787974,2021-12-06,1521076427.1149216
1638662400,4038.13,4257.0,4123.13,4203.22,250275.13989584,2021-12-05,1051961473.5129926
1638576000,3575.0,4240.0,4216.3,4123.13,512946.90714235,2021-12-04,2114946781.2458375
1638489600,4035.0,4662.75,4514.54,4216.93,312836.25058642,2021-12-03,1319208570.1853921
1638403200,4435.0,4637.39,4586.87,4514.59,171913.60834148,2021-12-02,776119457.0823622
1638316800,4526.94,4784.5,4636.43,4586.95,241301.695591,2021-12-01,1106838812.5911374
1638230400,4350.91,4759.0,4449.42,4634.95,312105.05293146,2021-11-30,1446591315.0846705
1638144000,4282.07,4466.0,4298.38,4449.42,170935.20731881,2021-11-29,760562530.1484596
1638057600,3950.0,4303.35,4098.53,4298.38,124752.71262005,2021-11-28,536234564.87177056
1637971200,4031.56,4186.97,4043.62,4098.31,93299.56271946,2021-11-27,382370530.88879013
1637884800,3915.0,4555.53,4527.03,4043.67,324817.57682312,2021-11-26,1313455090.8723457
1637798400,4250.0,4555.11,4270.93,4525.87,132338.28173546,2021-11-25,598945859.1580664
1637712000,4168.99,4359.88,4341.58,4270.74,120268.67729032,2021-11-24,513636250.85086125
1637625600,4062.28,4389.95,4089.17,4341.62,159935.23797902,2021-11-23,694378027.9144728
1637539200,4024.45,4322.86,4263.04,4089.16,174572.98932477,2021-11-22,713856885.0272764
1637452800,4246.07,4427.72,4416.36,4262.99,83775.31676078,2021-11-21,357133337.5980375
1637366400,4206.03,4438.96,4299.55,4416.69,96882.12097892,2021-11-20,427898294.9063861
1637280000,3975.24,4314.82,3998.57,4299.55,191232.56135587,2021-11-19,822213959.1776309
1637193600,3960.0,4346.42,4289.4,3997.93,291477.64786245,2021-11-18,1165307232.7187247
1637107200,4068.24,4300.01,4209.89,4289.4,197969.47328462,2021-11-17,849170258.707049
1637020800,4108.0,4564.98,4564.34,4209.5,309826.45957038,2021-11-16,1304214481.5615146
1636934400,4541.0,4770.0,4626.61,4565.06,121693.76091856,2021-11-15,555539320.2188816
1636848000,4516.05,4695.07,4644.43,4627.03,96933.07064437,2021-11-14,448512225.8636193
1636761600,4586.8,4708.6,4667.79,4644.44,76568.33646209,2021-11-13,355617044.5979892
