unix,low,high,open,close,volume,date,vol_fiat
1637193600,0.9997,1.0008,1.0006,1.0004,51724885.05,2021-11-18,51745575.00402
1637107200,0.9952,1.0021,1.0007,1.0006,133074415.27,2021-11-17,133154259.91916199
1637020800,0.9951,1.0065,1.0002,1.0006,102829109.15,2021-11-16,102890806.61549
1636934400,1.0,1.0011,1.0002,1.0001,65928173.08,2021-11-15,65934765.897308
1636848000,1.0001,1.0009,1.0002,1.0002,39110964.47,2021-11-14,39118786.662893996
1636761600,1.0001,1.0005,1.0003,1.0003,45314739.42,2021-11-13,45328333.841826
1636675200,1.0,1.0012,1.0004,1.0003,62579866.92,2021-11-12,62598640.880076
1636588800,1.0001,1.0011,1.0006,1.0005,79114417.66,2021-11-11,79153974.86883
1636502400,0.9998,1.0031,1.0001,1.0006,123204508.48,2021-11-10,123278431.185088
1636416000,1.0,1.0007,1.0006,1.0001,96358749.95,2021-11-09,96368385.824995
1636329600,1.0001,1.0012,1.0008,1.0005,91438737.77,2021-11-08,91484457.13888499
1636243200,1.0004,1.0014,1.0009,1.0009,49210890.11,2021-11-07,49255179.911098994
1636156800,1.0007,1.0014,1.0012,1.0009,70355312.84,2021-11-06,70418632.621556
1636070400,1.0005,1.0017,1.0008,1.0011,100355415.21,2021-11-05,100465806.166731
1635984000,1.0,1.001,1.0006,1.0007,107547265.68,2021-11-04,107622548.765976
1635897600,1.0004,1.01,1.0009,1.0005,125058829.52,2021-11-03,125121358.93475999
1635811200,1.0006,1.0013,1.0007,1.0009,92787805.3,2021-11-02,92871314.32476999
1635724800,1.0005,1.0009,1.0007,1.0007,62931397.02,2021-11-01,62975448.997914
1635638400,1.0004,1.0025,1.0005,1.0008,68541670.12,2021-10-31,68596503.456096
1635552000,1.0,1.0006,1.0003,1.0004,81059650.8,2021-10-30,81092074.66032
1635465600,0.9999,1.0007,1.0005,1.0003,98015645.25,2021-10-29,98045049.943575
1635379200,1.0002,1.0045,1.0012,1.0005,174405078.71,2021-10-28,174492281.249355
1635292800,1.0,1.01,1.0001,1.0012,236401965.39,2021-10-27,236685647.748468
1635206400,0.99,1.0003,1.0,1.0002,81909474.58,2021-10-26,81925856.474916
1635120000,0.9996,1.0001,1.0,1.0,77319918.61,2021-10-25,77319918.61
1635033600,0.9941,1.0003,0.9999,1.0001,91716249.26,2021-10-24,91725420.884926
1634947200,0.9998,1.0001,0.9998,1.0,35753325.4,2021-10-23,35753325.4
1634860800,0.9996,1.0003,1.0003,0.9999,50354245.36,2021-10-22,50349209.935464
1634774400,0.999,1.0024,1.0002,1.0002,68987306.19,2021-10-21,69001103.651238
1634688000,1.0,1.0003,1.0003,1.0001,38998995.4,2021-10-20,39002895.29954
1634601600,0.9998,1.0004,0.9999,1.0003,33411520.15,2021-10-19,33421543.606044997
1634515200,0.9921,1.004,1.0,0.9999,47690816.82,2021-10-18,47686047.738318
1634428800,0.9999,1.0002,1.0,1.0001,19535310.05,2021-10-17,19537263.581005
1634342400,0.9998,1.0003,0.9999,1.0001,28703130.06,2021-10-16,28706000.373005997
1634256000,0.9953,1.0003,1.0002,0.9998,74352141.29,2021-10-15,74337270.861742
1634169600,0.9989,1.0007,1.0001,1.0002,39746330.75,2021-10-14,39754280.01615
1634083200,0.9999,1.0004,1.0,1.0,35331333.54,2021-10-13,35331333.54
1633996800,0.9998,1.0004,1.0004,1.0,37389429.1,2021-10-12,37389429.1
1633910400,1.0001,1.0014,1.0004,1.0003,33376477.44,2021-10-11,33386490.383232
1633824000,0.9998,1.0004,1.0002,1.0003,24274387.95,2021-10-10,24281670.266385
1633737600,1.0001,1.0004,1.0001,1.0003,38511833.98,2021-10-09,38523387.53019399
1633651200,1.0001,1.0005,1.0004,1.0002,68918639.7,2021-10-08,68932423.42794
1633564800,0.9999,1.0009,1.0005,1.0004,130929521.85,2021-10-07,130981893.65873998
1633478400,0.9997,1.0011,1.0007,1.0005,96129186.81,2021-10-06,96177251.403405
1633392000,1.0002,1.0012,1.0005,1.0007,65395797.84,2021-10-05,65441574.898488
1633305600,1.0001,1.0007,1.0006,1.0005,42487639.58,2021-10-04,42508883.39979
1633219200,1.0002,1.0007,1.0006,1.0006,18372484.76,2021-10-03,18383508.250856
1633132800,1.0003,1.0006,1.0005,1.0006,19589400.0,2021-10-02,19601153.639999997
1633046400,1.0,1.0006,1.0002,1.0005,30784454.81,2021-10-01,30799847.037404995
1632960000,0.9998,1.0003,0.9999,1.0002,21663631.11,2021-09-30,21667963.836222
1632873600,0.9998,1.0003,1.0003,0.9999,20618266.79,2021-09-29,20616204.963321
1632787200,0.9997,1.0005,1.0002,1.0002,32472740.48,2021-09-28,32479235.028095998
1632700800,1.0002,1.0005,1.0004,1.0003,23091806.95,2021-09-27,23098734.492085
1632614400,1.0003,1.0008,1.0006,1.0004,23064874.17,2021-09-26,23074100.119668
1632528000,1.0005,1.0008,1.0007,1.0006,18293084.18,2021-09-25,18304060.030507997
